"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"01.01.2022 00:00 - 01.01.2022 00:15","0","0","n/e","1364","1364","n/e","2721","2721","n/e"
"01.01.2022 00:15 - 01.01.2022 00:30","0","0","n/e","1359","1359","n/e","2671","2671","n/e"
"01.01.2022 00:30 - 01.01.2022 00:45","0","0","n/e","1349","1349","n/e","2621","2621","n/e"
"01.01.2022 00:45 - 01.01.2022 01:00","0","0","n/e","1339","1339","n/e","2572","2572","n/e"
"01.01.2022 01:00 - 01.01.2022 01:15","0","0","n/e","1329","1329","n/e","2520","2520","n/e"
"01.01.2022 01:15 - 01.01.2022 01:30","0","0","n/e","1316","1316","n/e","2459","2459","n/e"
"01.01.2022 01:30 - 01.01.2022 01:45","0","0","n/e","1300","1300","n/e","2385","2385","n/e"
"01.01.2022 01:45 - 01.01.2022 02:00","0","0","n/e","1285","1285","n/e","2315","2315","n/e"
"01.01.2022 02:00 - 01.01.2022 02:15","0","0","n/e","1269","1269","n/e","2243","2243","n/e"
"01.01.2022 02:15 - 01.01.2022 02:30","0","0","n/e","1249","1249","n/e","2184","2184","n/e"
"01.01.2022 02:30 - 01.01.2022 02:45","0","0","n/e","1223","1223","n/e","2133","2133","n/e"
"01.01.2022 02:45 - 01.01.2022 03:00","0","0","n/e","1198","1198","n/e","2087","2087","n/e"
"01.01.2022 03:00 - 01.01.2022 03:15","0","0","n/e","1172","1172","n/e","2037","2037","n/e"
"01.01.2022 03:15 - 01.01.2022 03:30","0","0","n/e","1144","1144","n/e","1985","1985","n/e"
"01.01.2022 03:30 - 01.01.2022 03:45","0","0","n/e","1115","1115","n/e","1927","1927","n/e"
"01.01.2022 03:45 - 01.01.2022 04:00","0","0","n/e","1086","1086","n/e","1870","1870","n/e"
"01.01.2022 04:00 - 01.01.2022 04:15","0","0","n/e","1057","1057","n/e","1812","1812","n/e"
"01.01.2022 04:15 - 01.01.2022 04:30","0","0","n/e","1041","1041","n/e","1745","1745","n/e"
"01.01.2022 04:30 - 01.01.2022 04:45","0","0","n/e","1040","1040","n/e","1672","1672","n/e"
"01.01.2022 04:45 - 01.01.2022 05:00","0","0","n/e","1038","1038","n/e","1598","1598","n/e"
"01.01.2022 05:00 - 01.01.2022 05:15","0","0","n/e","1036","1036","n/e","1525","1525","n/e"
"01.01.2022 05:15 - 01.01.2022 05:30","0","0","n/e","1029","1029","n/e","1473","1473","n/e"
"01.01.2022 05:30 - 01.01.2022 05:45","0","0","n/e","1018","1018","n/e","1440","1440","n/e"
"01.01.2022 05:45 - 01.01.2022 06:00","0","0","n/e","1007","1007","n/e","1409","1409","n/e"
"01.01.2022 06:00 - 01.01.2022 06:15","0","0","n/e","996","996","n/e","1374","1374","n/e"
"01.01.2022 06:15 - 01.01.2022 06:30","0","0","n/e","987","987","n/e","1338","1338","n/e"
"01.01.2022 06:30 - 01.01.2022 06:45","0","0","n/e","981","981","n/e","1297","1297","n/e"
"01.01.2022 06:45 - 01.01.2022 07:00","0","0","n/e","975","975","n/e","1257","1257","n/e"
"01.01.2022 07:00 - 01.01.2022 07:15","0","0","n/e","969","969","n/e","1220","1220","n/e"
"01.01.2022 07:15 - 01.01.2022 07:30","0","0","n/e","983","983","n/e","1216","1216","n/e"
"01.01.2022 07:30 - 01.01.2022 07:45","0","0","n/e","1016","1016","n/e","1247","1247","n/e"
"01.01.2022 07:45 - 01.01.2022 08:00","0","0","n/e","1049","1049","n/e","1278","1278","n/e"
"01.01.2022 08:00 - 01.01.2022 08:15","0","0","n/e","1082","1082","n/e","1309","1309","n/e"
"01.01.2022 08:15 - 01.01.2022 08:30","0","0","n/e","1112","1112","n/e","1359","1359","n/e"
"01.01.2022 08:30 - 01.01.2022 08:45","0","0","n/e","1139","1139","n/e","1424","1424","n/e"
"01.01.2022 08:45 - 01.01.2022 09:00","0","0","n/e","1165","1165","n/e","1491","1491","n/e"
"01.01.2022 09:00 - 01.01.2022 09:15","0","0","n/e","1192","1192","n/e","1556","1556","n/e"
"01.01.2022 09:15 - 01.01.2022 09:30","56","56","n/e","1209","1209","n/e","1623","1623","n/e"
"01.01.2022 09:30 - 01.01.2022 09:45","107","107","n/e","1217","1217","n/e","1693","1693","n/e"
"01.01.2022 09:45 - 01.01.2022 10:00","163","163","n/e","1226","1226","n/e","1762","1762","n/e"
"01.01.2022 10:00 - 01.01.2022 10:15","216","216","n/e","1234","1234","n/e","1830","1830","n/e"
"01.01.2022 10:15 - 01.01.2022 10:30","371","371","n/e","1233","1233","n/e","1865","1865","n/e"
"01.01.2022 10:30 - 01.01.2022 10:45","524","524","n/e","1224","1224","n/e","1865","1865","n/e"
"01.01.2022 10:45 - 01.01.2022 11:00","681","681","n/e","1215","1215","n/e","1863","1863","n/e"
