HourDK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2022-12-21 05:00:00,95.79774,214.82765,249.97665,286.76178,289.31766,319.10635,331.59872,341.7197,367.04684,372.74185,387.87115,388.19284,398.66913,412.8985,429.54166,435.0341,454.76273,451.96497,467.97922,476.63116,488.3554,507.12,497.80215,509.94666,521.92975,534.6283,542.40607,555.958,558.98,573.14984,589.55536,592.8331,607.42786,617.2689,633.24884,640.0423,651.2326,674.60114,679.7172,682.46246,707.20197,717.9486,735.3935,757.98584,770.4189,796.41833,813.54474,871.57184,935.40015,1078.109
2022-12-21 06:00:00,112.98844,228.87505,265.64954,301.72284,305.96054,334.6286,349.08902,358.84775,382.33728,389.01425,403.0174,403.2041,412.99564,427.5834,442.8707,448.6036,467.15457,463.087,478.7935,487.1296,498.18835,515.46747,506.1961,518.32495,528.2123,540.44507,547.22876,559.3658,562.0575,575.1358,589.32965,592.1093,604.74316,613.7555,629.1403,634.5491,646.34406,667.8618,671.3539,673.4031,697.20074,707.17426,723.0903,745.67725,756.5754,782.02826,799.4569,852.62335,913.1389,1043.1682
2022-12-21 07:00:00,128.6005,244.79427,284.78802,321.71887,327.34528,355.32968,371.4645,380.73837,404.08072,411.71094,425.67462,426.44812,436.1357,451.3588,466.19882,473.14883,490.76624,486.38452,502.35,510.31094,520.9654,537.8519,529.1605,541.1119,550.7163,563.05035,569.4991,580.13873,583.24927,595.9187,609.1753,612.23236,623.6428,632.27826,647.20416,652.0201,663.7376,683.55096,686.071,686.8557,708.96014,717.43427,731.81757,754.3318,763.31055,787.7131,803.33575,850.8996,906.61884,1025.5288
2022-12-21 08:00:00,151.95706,261.7808,304.82693,342.7871,349.07465,376.11124,393.15744,402.0436,425.30173,434.46774,448.71384,450.93915,460.7776,477.39963,491.86554,501.04678,517.58746,513.25494,529.7717,536.80005,548.96094,566.0999,558.1703,570.53876,580.60913,593.6735,600.8063,610.8713,615.02094,627.52905,640.65985,645.80634,657.27875,666.52075,681.82697,686.958,699.9663,718.52386,721.67004,721.3761,743.39813,750.92676,764.4035,790.729,797.3508,823.1677,838.07904,884.15076,938.7087,1056.0793
2022-12-21 09:00:00,206.27957,308.74524,348.90186,385.43304,389.04895,415.45428,431.73264,439.6033,462.60812,471.30344,485.22543,487.61334,496.93314,514.4787,528.6861,538.85956,554.9869,549.9357,566.71326,573.16846,587.10114,605.075,596.43335,609.55554,620.41254,634.10095,642.10596,652.85046,657.4829,670.66376,684.79553,691.9189,704.87915,715.07184,731.9149,737.96423,753.1357,772.8799,777.46826,777.56006,801.7305,809.93494,824.1127,855.74756,861.9098,891.14105,907.4369,957.74567,1016.9131,1145.8824
2022-12-21 10:00:00,276.60184,379.74957,414.86646,450.31512,449.53925,476.87683,491.22372,497.717,522.5377,529.5037,542.8474,543.7099,553.55035,570.896,585.63824,595.69696,612.6626,606.95026,623.681,630.45264,644.478,664.67535,653.79553,666.5128,679.624,693.0833,702.425,713.4568,718.55255,733.38324,749.37244,756.9454,772.0432,782.39026,801.4106,808.9105,824.56287,846.64246,852.26355,853.2394,878.9299,887.7803,903.34534,938.69,946.1464,977.0472,994.57465,1049.523,1111.213,1264.9552
2022-12-21 11:00:00,357.27713,454.3512,489.03848,526.39514,526.8189,552.7099,565.7671,571.8528,597.1611,604.71063,617.54047,617.5815,628.6798,645.35895,659.57733,670.34125,686.9337,681.2779,697.53015,704.0773,717.0026,738.01447,725.8345,736.88855,751.52106,763.3586,772.94006,781.92615,787.4651,801.8622,817.5818,824.16113,838.6383,847.0269,864.95795,871.8595,885.9633,906.44073,910.047,909.65717,932.1934,937.88995,951.0667,986.32,991.46234,1018.07275,1033.9147,1081.3359,1133.9741,1288.3567
2022-12-21 12:00:00,451.2113,551.7896,583.6821,617.88794,619.1406,641.7758,653.5023,656.05963,678.99445,685.6157,696.84546,693.97186,703.9933,719.015,730.9582,739.65546,754.7286,748.37695,762.85345,768.126,778.2586,797.77057,783.4279,792.38574,807.24615,816.2346,824.0431,830.2065,834.14075,846.55176,859.77356,864.9566,876.7413,882.8603,899.0688,903.81055,914.86975,933.6482,934.85394,935.57776,954.1424,957.16364,967.9619,999.1733,1002.23224,1023.07733,1035.7891,1074.567,1118.5803,1253.6146
2022-12-21 13:00:00,558.6813,658.3568,684.427,712.7032,715.15076,733.12305,743.84314,742.01013,760.61005,765.53326,774.6431,768.1193,776.1534,788.8733,797.6178,803.5551,816.238,808.55786,820.82336,824.6593,831.0887,847.68036,831.1655,837.9441,852.14746,857.7817,862.7447,865.2621,867.0023,876.8522,886.44257,889.8191,897.7468,900.9527,914.60626,916.2823,924.21844,940.977,938.83606,941.22235,954.66785,955.00793,962.7826,988.4814,989.6548,1003.57776,1013.24005,1040.952,1075.5387,1177.4855
2022-12-21 14:00:00,623.5714,726.7157,751.16376,776.36206,780.5032,795.95276,807.2358,803.1723,818.9735,823.04047,831.3831,822.706,829.63947,841.3031,848.3906,852.86945,864.19196,855.4864,866.8378,870.3002,874.6856,889.3725,871.585,877.5053,891.0177,895.0979,898.17566,898.5896,899.13947,907.6554,914.8609,917.35315,922.5335,924.091,936.1271,935.9004,942.7729,958.33215,953.9354,957.5198,967.5014,966.4174,971.85815,994.6427,994.5468,1004.33997,1012.7194,1033.6274,1062.8674,1140.4724
