HourDK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2022-12-21 05:00:00,492.5833,621.06244,678.2368,689.9749,733.3247,768.8362,771.9167,793.45264,807.9892,825.5437,837.9293,844.66296,851.47595,861.6953,872.8386,895.9948,910.48193,917.9158,923.23315,925.79913,952.7992,948.357,972.95514,970.3383,976.2616,989.1021,994.57654,1006.6704,1014.43964,1024.8151,1039.1595,1027.1289,1075.5815,1073.7087,1080.6345,1079.6838,1106.2692,1114.5266,1137.4705,1155.0098,1153.552,1192.298,1204.4276,1209.2449,1246.9045,1260.1284,1305.8812,1336.8873,1437.6832,1557.2157
2022-12-21 06:00:00,454.95023,583.012,650.8719,659.71783,705.925,738.68,748.9793,769.5671,788.0903,806.0729,814.8471,823.0521,835.07404,842.05396,855.2338,879.4509,895.0206,903.5042,908.4163,910.0162,940.2515,936.0391,961.1227,961.2603,972.0211,981.1808,986.0532,1000.9565,1006.0704,1018.79846,1035.1582,1023.07794,1071.5403,1073.167,1082.1577,1079.8889,1108.8335,1119.4336,1146.8705,1161.4865,1164.9913,1201.9452,1218.4553,1226.1746,1261.0209,1282.9086,1327.9208,1369.1932,1477.7363,1607.4987
2022-12-21 07:00:00,384.0685,536.2374,608.8208,616.20105,674.14557,696.24115,716.3235,734.824,758.0964,782.75543,790.1522,799.8946,821.1576,826.05554,843.46826,864.2709,880.4108,891.5202,900.57605,903.5751,933.16797,928.0106,956.5379,958.0226,972.50037,979.01715,991.5474,1003.05475,1012.16266,1024.1157,1044.2548,1036.1234,1077.73,1083.0024,1100.3634,1100.1577,1127.1942,1141.8358,1169.8569,1184.1954,1193.6849,1227.2672,1250.9149,1270.2495,1301.2417,1335.5618,1382.5922,1429.4725,1558.1569,1716.0629
2022-12-21 08:00:00,382.13342,543.2195,614.4203,619.2646,685.2057,716.7461,729.7586,748.7968,770.95074,800.7769,805.4373,817.7717,835.5524,843.51715,864.3785,886.5577,901.7599,915.6683,923.4766,921.19476,960.5053,947.20233,984.769,982.85126,997.6291,1002.0109,1013.3743,1027.2687,1038.8955,1048.435,1068.4335,1056.5105,1106.4795,1115.0067,1130.0626,1128.302,1161.4067,1173.7812,1200.4426,1216.0897,1227.8491,1259.5626,1284.2296,1302.872,1338.2224,1370.3853,1421.6438,1460.7043,1609.8639,1754.0365
2022-12-21 09:00:00,438.22653,600.688,670.92865,676.55634,745.0139,787.2362,791.44806,812.9683,832.16656,863.4644,866.7234,880.77765,892.1924,901.5194,924.0444,947.9093,963.594,980.146,983.4103,976.60724,1023.5028,1007.0254,1049.5989,1043.3518,1059.3254,1061.5876,1069.4231,1086.2992,1098.1344,1107.7698,1125.0775,1109.2183,1170.3649,1178.7029,1186.8737,1184.7529,1223.65,1232.9253,1258.9607,1275.0293,1288.2297,1319.4773,1343.0425,1352.8514,1397.2555,1420.1248,1475.6753,1508.0684,1660.7197,1783.6888
2022-12-21 10:00:00,538.6464,696.6116,763.77124,768.4173,834.4937,881.67,880.8895,899.88574,915.4464,945.8761,952.491,962.6722,972.6194,982.975,1002.222,1025.1506,1039.2266,1057.0873,1058.893,1053.1423,1095.6484,1082.3986,1123.916,1118.3865,1129.7286,1131.153,1139.1301,1156.3905,1164.6412,1174.3693,1188.2296,1174.3932,1235.0731,1242.8069,1247.9272,1246.3568,1285.724,1292.4005,1318.1365,1331.5204,1346.6282,1373.1473,1394.5295,1400.8739,1443.3531,1459.0159,1514.3608,1535.1317,1678.9971,1781.8466
2022-12-21 11:00:00,623.8017,784.4231,854.93115,852.34644,914.95905,964.6341,964.56146,980.3167,992.2309,1019.9981,1031.5481,1033.7655,1045.2916,1058.3079,1073.1003,1098.7263,1109.6647,1125.0651,1130.3838,1128.3438,1162.9688,1149.7604,1188.0431,1185.7798,1192.053,1196.2957,1205.1176,1221.202,1223.9479,1233.9021,1249.3995,1237.2004,1292.2852,1300.1345,1304.8394,1304.3235,1341.0568,1346.8186,1377.9724,1383.9468,1396.1293,1420.4467,1439.1053,1448.0092,1480.1105,1492.5918,1545.3818,1560.4625,1695.1715,1789.3595
2022-12-21 12:00:00,647.4252,833.34045,913.3009,912.00824,972.7978,1011.01843,1023.60004,1038.9396,1052.537,1077.8262,1092.5652,1093.2819,1110.9438,1119.3674,1134.034,1160.3871,1172.7875,1182.9751,1194.2505,1199.0093,1223.368,1214.6283,1247.5988,1248.3052,1254.5852,1265.1561,1276.9819,1289.6245,1289.8654,1304.2164,1324.6084,1314.8163,1359.8444,1365.8118,1375.1377,1378.0532,1408.1272,1418.2954,1455.9689,1458.4103,1466.7158,1492.816,1510.6953,1526.0785,1550.0667,1568.8843,1617.3995,1646.1842,1763.9773,1884.5071
2022-12-21 13:00:00,648.948,856.52527,950.9802,963.9949,1025.0359,1045.8875,1074.6073,1086.192,1111.8773,1133.2031,1159.2756,1154.9742,1188.8289,1181.6074,1201.0839,1221.8435,1241.3527,1243.7383,1260.5186,1279.315,1288.298,1292.7949,1320.8114,1331.1488,1329.0127,1350.3275,1370.2131,1383.5306,1373.965,1400.6309,1422.8617,1413.8472,1449.3275,1453.6515,1475.822,1481.355,1508.2096,1522.4769,1565.3813,1575.0283,1586.3715,1611.8696,1625.7244,1651.6654,1666.3258,1701.9338,1748.2544,1795.7985,1896.8357,2064.806
2022-12-21 14:00:00,680.5491,908.0381,1011.6702,1044.6716,1103.5295,1111.1189,1155.0538,1164.55,1198.9045,1220.9786,1254.9652,1250.2762,1299.2748,1278.5928,1301.5112,1315.9062,1340.054,1340.7152,1358.6704,1389.3411,1386.3243,1408.6207,1430.1741,1448.4994,1441.0363,1468.9027,1494.5857,1513.105,1496.0355,1531.2264,1552.2682,1547.5769,1575.0463,1579.2198,1614.4192,1618.0598,1642.9495,1662.5773,1708.3018,1727.2264,1744.8146,1768.379,1782.877,1813.828,1822.9401,1874.621,1920.7733,1981.4725,2074.769,2296.1143
2022-12-21 15:00:00,788.2305,1041.334,1146.4609,1192.9346,1247.4187,1258.9069,1302.6992,1313.125,1350.2539,1371.3785,1407.0925,1408.4021,1455.4908,1430.6742,1453.063,1464.4546,1495.0321,1497.6958,1511.6649,1539.8323,1540.3425,1570.8381,1591.6621,1610.3729,1602.3146,1629.1672,1653.7833,1677.5453,1655.1359,1696.8502,1713.0103,1708.378,1740.4236,1743.1125,1779.5046,1778.8162,1809.7649,1826.2163,1866.7568,1892.9806,1914.6663,1937.3302,1950.7246,1972.4132,1988.3109,2037.787,2082.5513,2148.2605,2227.7905,2472.666
2022-12-21 16:00:00,971.6329,1241.3451,1337.8656,1397.4615,1442.6725,1454.1124,1495.5856,1507.9727,1540.8223,1555.3834,1593.8049,1597.8163,1636.7671,1607.936,1630.0397,1637.4048,1674.1271,1676.9305,1683.8379,1707.9572,1710.0837,1749.4513,1765.1022,1779.5652,1773.1741,1796.1823,1815.6089,1844.1986,1814.8003,1860.6154,1870.8856,1863.9525,1901.0957,1898.2566,1928.842,1927.2423,1960.8466,1970.1489,2004.6305,2029.9067,2054.4805,2074.9736,2081.8416,2086.6294,2112.298,2145.386,2187.311,2252.4915,2286.1426,2536.4985
2022-12-21 17:00:00,1147.8008,1405.9672,1491.2435,1552.4377,1597.8939,1604.639,1639.6459,1652.6433,1677.3325,1695.67,1724.6687,1733.7385,1766.396,1730.1738,1756.6818,1761.8135,1795.609,1802.3286,1802.5928,1822.2166,1824.6333,1863.0536,1881.3433,1885.8114,1884.3689,1897.7985,1915.0555,1941.4543,1918.7833,1956.4796,1963.161,1954.4287,1992.8298,1986.2361,2009.427,2006.856,2040.4216,2046.863,2078.6602,2098.1316,2122.49,2140.0454,2144.039,2138.1558,2168.2551,2189.3308,2232.3945,2272.8562,2296.0322,2532.1655
